Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
389;8022;Universidade Franciscana;BRA;Universities;3
390;8033;Universidad Nacional de la Patagonia San Juan Bosco;ARG;Universities;3
391;8094;Universidad Autonoma de Tlaxcala;MEX;Universities;3
392;8118;Universidad Catolica de Cuenca *;ECU;Universities;3
393;8130;Universidade Federal do Delta do Parnaiba;BRA;Universities;2
394;8159;Universidad Central Marta Abreu de Las Villas *;CUB;Universities;2
395;8162;Universidad Regional Autonoma de Los Andes;ECU;Universities;2
396;8176;Universidade de Franca;BRA;Universities;3
397;8192;Universidad de San Andres;ARG;Universities;3
398;8195;Universidad Nacional de Chimborazo;ECU;Universities;3
399;8226;Universidad de Oriente, Cuba;CUB;Universities;2
400;8254;Universidade Federal do Agreste de Pernambuco;BRA;Universities;3
401;8275;Universidad Tecnologica de Panama;PAN;Universities;3
402;8302;Universidade do Estado do Rio Grande do Norte;BRA;Universities;3
403;8360;Universidad de San Buenaventura;COL;Universities;4
404;8373;Universidade Federal do Sul e Sudeste do Para;BRA;Universities;4
405;8374;Universidade Federal do Cariri;BRA;Universities;3
406;8392;Universidad Tecnica de Ambato;ECU;Universities;3
407;8396;Universidad Autonoma de Baja California Sur;MEX;Universities;3
408;8405;Instituto Tecnologico Autonomo de Mexico;MEX;Universities;2
409;8420;Universidad Surcolombiana;COL;Universities;4
410;8431;Universidad de Ciencias y Humanidades;PER;Universities;1
411;8442;Universidad de Ciencias y Artes de Chiapas;MEX;Universities;3
412;8461;Universidad de Medellin;COL;Universities;4
413;8483;Centro de Ecologia Aplicada y Sustentabilidad;CHL;Universities;3
414;8502;Centro Universitario da FEI;BRA;Universities;4
415;8566;Universidade Presbiteriana Mackenzie;BRA;Universities;3
416;8616;Universidad de Cienfuegos Carlos Rafael Rodriguez;CUB;Universities;2
417;8656;Escuela Nacional de Antropologia e Historia;MEX;Universities;3
418;8779;Universidad Tecnologica Indoamerica;ECU;Universities;4
419;8804;Universidad Autonoma del Peru;PER;Universities;4
420;8812;Centro para el Desarrollo de la Nanociencia y la Nanotecnologia;CHL;Universities;2
421;8981;Universidad Internacional Iberoamericana, Mexico;MEX;Universities;4
422;8982;Instituto Federal de Educacao, Ciencia e Tecnologia de Goias;BRA;Universities;3
